Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,99.959999,100.000000,97.139999,98.000000,98.000000,5782889
2019-07-26,98.239998,98.690002,94.720001,95.059998,95.059998,7969231
2019-07-29,95.529999,96.779999,95.529999,95.800003,95.800003,7802325
2019-07-30,95.930000,98.089996,95.559998,97.800003,97.800003,4976146
2019-07-31,98.040001,99.000000,95.870003,96.480003,96.480003,13151156
2019-08-01,96.419998,96.639999,92.400002,92.570000,92.570000,6748474
2019-08-02,92.339996,92.570000,88.720001,91.459999,91.459999,7642504
2019-08-05,90.910004,92.320000,89.910004,90.830002,90.830002,7127364
2019-08-06,91.010002,95.160004,91.010002,94.889999,94.889999,10290087
2019-08-07,94.110001,96.230003,93.769997,96.010002,96.010002,10804384
2019-08-08,95.800003,97.879997,95.800003,96.120003,96.120003,4600951
2019-08-09,95.709999,97.940002,95.709999,97.419998,97.419998,5064327
2019-08-12,97.010002,98.550003,96.809998,97.349998,97.349998,5123141
2019-08-13,97.209999,98.000000,95.949997,96.019997,96.019997,7932212
2019-08-14,95.709999,95.779999,92.800003,94.370003,94.370003,8260534
2019-08-15,94.010002,95.489998,92.209999,94.529999,94.529999,5805360
2019-08-16,94.989998,99.110001,94.209999,97.559998,97.559998,10615315
2019-08-19,97.639999,99.489998,97.620003,99.029999,99.029999,7728168
2019-08-20,99.279999,99.790001,97.910004,99.279999,99.279999,3968616
2019-08-21,99.540001,100.489998,98.510002,99.989998,99.989998,6347700
2019-08-22,99.360001,102.589996,99.349998,102.129997,102.129997,14662988
2019-08-23,101.809998,102.589996,101.500000,102.010002,102.010002,8404893
2019-08-26,102.500000,103.690002,102.500000,103.230003,103.230003,7796458
2019-08-27,103.330002,104.089996,103.150002,103.940002,103.940002,17175389
2019-08-28,103.500000,104.190002,102.980003,103.080002,103.080002,7306807
2019-08-29,103.400002,107.500000,103.370003,105.680000,105.680000,9782646
2019-08-30,105.800003,108.199997,105.309998,107.820000,107.820000,12617107
2019-09-02,107.500000,107.589996,102.910004,106.000000,106.000000,2013879
2019-09-03,106.099998,106.190002,104.519997,105.430000,105.430000,7114257
2019-09-04,105.599998,107.470001,105.029999,107.010002,107.010002,8917513
2019-09-05,107.489998,108.500000,106.800003,108.269997,108.269997,5607512
2019-09-06,108.489998,109.940002,107.959999,108.320000,108.320000,6315567
2019-09-09,108.489998,109.500000,108.309998,109.070000,109.070000,4988357
2019-09-10,109.050003,109.589996,108.110001,109.370003,109.370003,4454653
2019-09-11,109.300003,111.910004,109.010002,111.269997,111.269997,6451678
2019-09-12,111.820000,111.940002,107.599998,108.260002,108.260002,5302814
2019-09-13,108.750000,108.750000,107.000000,107.129997,107.129997,3283764
2019-09-17,107.260002,111.169998,106.910004,110.959999,110.959999,7508696
2019-09-18,110.800003,110.959999,107.610001,108.360001,108.360001,7575826
2019-09-19,108.879997,109.389999,108.010002,108.279999,108.279999,2702170
2019-09-20,108.500000,110.889999,107.919998,109.379997,109.379997,40402797
2019-09-23,109.400002,109.989998,109.099998,109.250000,109.250000,3383347
2019-09-24,108.870003,109.470001,105.620003,106.419998,106.419998,8293209
2019-09-25,106.699997,106.800003,104.510002,105.000000,105.000000,9639207
2019-09-26,105.300003,106.889999,104.709999,106.800003,106.800003,6553684
2019-09-27,107.000000,107.169998,106.110001,106.879997,106.879997,3497888
2019-09-30,106.209999,106.989998,105.910004,106.070000,106.070000,5601646
2019-10-01,105.870003,106.750000,105.809998,106.190002,106.190002,3220363
2019-10-02,105.709999,106.269997,103.949997,104.120003,104.120003,4866826
2019-10-03,104.000000,108.389999,104.000000,108.209999,108.209999,4221795
2019-10-04,108.169998,110.580002,108.110001,110.419998,110.419998,5163982
2019-10-07,109.620003,110.889999,109.570000,110.029999,110.029999,4881760
2019-10-08,110.500000,110.620003,105.510002,105.809998,105.809998,9362838
2019-10-09,106.309998,107.290001,105.330002,105.989998,105.989998,4922533
2019-10-10,105.730003,108.449997,105.730003,107.930000,107.930000,4988348
2019-10-11,108.589996,111.000000,108.300003,109.250000,109.250000,5172509
2019-10-14,108.540001,110.989998,108.540001,110.650002,110.650002,3273750
2019-10-15,110.680000,111.190002,110.010002,110.480003,110.480003,4570883
2019-10-16,110.480003,111.059998,107.940002,108.430000,108.430000,5570487
2019-10-17,108.599998,108.870003,107.309998,108.400002,108.400002,5055803
2019-10-18,108.010002,109.820000,106.559998,107.050003,107.050003,5973586
2019-10-21,107.589996,108.989998,106.830002,106.989998,106.989998,2756384
2019-10-22,107.190002,108.480003,107.019997,107.790001,107.790001,5264418
2019-10-23,108.029999,109.980003,107.480003,109.809998,109.809998,4861482
2019-10-24,109.989998,112.360001,109.919998,111.839996,111.839996,6873582
2019-10-25,111.760002,111.760002,101.309998,101.680000,101.680000,11650249
2019-10-28,102.050003,103.489998,102.010002,103.089996,103.089996,6214649
2019-10-29,103.029999,104.849998,101.099998,101.449997,101.449997,4899395
2019-10-30,101.889999,103.379997,101.510002,103.019997,103.019997,5079279
2019-10-31,102.989998,105.320000,102.410004,105.000000,105.000000,7176059
2019-11-01,105.260002,105.989998,104.510002,105.480003,105.480003,8261746
2019-11-04,105.480003,106.790001,103.709999,104.059998,104.059998,3369329
2019-11-05,103.800003,104.190002,102.510002,103.849998,103.849998,5611936
2019-11-06,104.089996,104.440002,103.110001,103.989998,103.989998,3372555
2019-11-07,104.279999,105.769997,104.080002,105.440002,105.440002,4664696
2019-11-08,105.019997,105.790001,102.580002,102.949997,102.949997,2708185
2019-11-11,102.510002,103.480003,102.320000,102.620003,102.620003,3579726
2019-11-12,102.459999,102.459999,99.559998,99.769997,99.769997,3622472
2019-11-13,99.489998,100.000000,99.010002,99.339996,99.339996,11577185
2019-11-14,99.589996,99.790001,98.120003,99.099998,99.099998,7458442
2019-11-15,99.300003,103.410004,99.300003,103.089996,103.089996,9620420
2019-11-19,102.610001,106.000000,102.610001,105.849998,105.849998,6397336
2019-11-20,105.739998,106.260002,104.910004,105.849998,105.849998,5124156
2019-11-21,105.730003,107.000000,104.050003,106.739998,106.739998,3884075
2019-11-22,106.680000,107.379997,106.110001,107.169998,107.169998,3194173
2019-11-25,107.290001,108.209999,106.559998,106.709999,106.709999,3825679
2019-11-26,106.459999,106.459999,101.459999,101.910004,101.910004,14223906
2019-11-27,102.529999,103.769997,101.910004,103.419998,103.419998,2677180
2019-11-28,103.440002,103.949997,102.709999,103.730003,103.730003,568525
2019-11-29,103.989998,104.150002,102.610001,102.940002,102.940002,2038662
2019-12-02,103.279999,103.300003,100.089996,100.349998,100.349998,4780639
2019-12-03,100.120003,101.389999,99.599998,100.550003,100.550003,2342907
2019-12-04,100.980003,101.519997,100.500000,101.099998,101.099998,4496652
2019-12-05,100.949997,101.589996,100.620003,101.070000,101.070000,4543114
2019-12-06,101.150002,101.769997,99.599998,99.879997,99.879997,4605899
